,DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Latitude,Longitude
73,13774.0,07/08/2020 12:00:00 AM,South Shore,930.0,2143.0,1411.7,41.7689,-87.5636
74,13786.0,07/06/2020 12:52:00 PM,Montrose,665.0,176.0,342.1,41.9655,-87.6385
75,13788.0,07/06/2020 12:52:00 PM,Hartigan (Albion),382.0,210.0,283.2,42.0027,-87.6564
76,13779.0,07/08/2020 12:00:00 AM,Montrose,665.0,176.0,342.1,41.9655,-87.6385
78,13775.0,07/08/2020 12:00:00 AM,63rd Street,1135.0,709.0,897.1,41.7827,-87.5748
79,13780.0,07/08/2020 12:00:00 AM,Osterman,190.0,330.0,250.4,41.9877,-87.6545
80,13813.0,07/06/2020 12:52:00 PM,12th Street,35.0,152.0,72.9,41.8638,-87.6083
81,13803.0,07/06/2020 12:52:00 PM,Oak Street,2560.0,3001.0,2771.7,41.9032,-87.6235
85,10708.0,06/05/2019 12:05:00 PM,Margaret T Burroughs (31st),10.0,75.0,27.4,41.8393,-87.6072
86,10689.0,06/05/2019 12:08:00 PM,Hartigan (Albion),1226.0,161.0,444.3,42.0027,-87.6564
87,10711.0,06/05/2019 12:07:00 PM,North Avenue,57.0,29.0,40.7,41.9148,-87.6273
88,10716.0,06/05/2019 12:11:00 PM,63rd Street,167.0,435.0,269.5,41.7827,-87.5748
89,10686.0,06/05/2019 12:05:00 PM,57th Street,32.0,79.0,50.3,41.7911,-87.5797
90,10713.0,06/05/2019 12:08:00 PM,Osterman,91.0,80.0,85.3,41.9877,-87.6545
91,10709.0,06/05/2019 12:06:00 PM,12th Street,129.0,30.0,62.2,41.8638,-87.6083
92,10691.0,06/05/2019 12:10:00 PM,Rogers,228.0,363.0,287.7,42.0213,-87.6666
93,10685.0,06/05/2019 12:04:00 PM,Calumet,11.0,7.0,8.8,41.7142,-87.5299
94,10688.0,06/05/2019 12:08:00 PM,Foster,19.0,38.0,26.9,41.9785,-87.6515
95,10706.0,06/05/2019 12:05:00 PM,South Shore,15.0,279.0,64.7,41.7689,-87.5636
96,10712.0,06/05/2019 12:07:00 PM,Montrose,1059.0,1295.0,1171.1,41.9655,-87.6385
97,10710.0,06/05/2019 12:06:00 PM,Ohio Street,15.0,1610.0,155.4,41.8935,-87.6152
98,10707.0,06/05/2019 12:05:00 PM,Oakwood,10.0,3.0,5.5,41.8211,-87.5976
99,10715.0,06/05/2019 12:09:00 PM,Howard,14.0,45.0,25.1,42.0188,-87.6663
100,10705.0,06/05/2019 12:04:00 PM,Rainbow,236.0,32.0,86.9,41.758,-87.551
101,10714.0,06/05/2019 12:09:00 PM,Leone,90.0,113.0,100.8,42.0131,-87.6635
102,10687.0,06/05/2019 12:06:00 PM,Oak Street,49.0,431.0,145.3,41.9032,-87.6235
103,10690.0,06/05/2019 12:09:00 PM,Marion Mahony Griffin (Jarvis),139.0,88.0,110.6,42.0161,-87.6647
104,10723.0,06/06/2019 12:27:00 PM,Ohio Street,695.0,230.0,399.8,41.8935,-87.6152
105,10718.0,06/06/2019 12:24:00 PM,South Shore,936.0,134.0,354.2,41.7689,-87.5636
106,10725.0,06/06/2019 12:28:00 PM,Foster,4.0,3.0,3.5,41.9785,-87.6515
107,13833.0,07/07/2020 12:42:00 PM,57th Street,7044.0,9022.0,7971.9,41.7911,-87.5797
108,13791.0,07/07/2020 12:42:00 PM,Rainbow,5127.0,3260.0,4088.3,41.758,-87.551
109,13838.0,07/07/2020 12:42:00 PM,Foster,760.0,1314.0,999.3,41.9785,-87.6515
112,13841.0,07/07/2020 12:42:00 PM,Marion Mahony Griffin (Jarvis),33.0,282.0,96.5,42.0161,-87.6647
113,13836.0,07/07/2020 12:42:00 PM,Oak Street,49.0,37.0,42.6,41.9032,-87.6235
115,13835.0,07/07/2020 12:42:00 PM,12th Street,96.0,12.0,33.9,41.8638,-87.6083
116,10729.0,06/06/2019 12:30:00 PM,Rogers,28.0,44.0,35.1,42.0213,-87.6666
117,10720.0,06/06/2019 12:25:00 PM,Oakwood,13.0,22.0,16.9,41.8211,-87.5976
118,10727.0,06/06/2019 12:29:00 PM,Hartigan (Albion),11.0,26.0,16.9,42.0027,-87.6564
119,10724.0,06/06/2019 12:27:00 PM,Oak Street,67.0,11.0,27.1,41.9032,-87.6235
120,10681.0,06/06/2019 12:29:00 PM,Marion Mahony Griffin (Jarvis),3.0,20.0,7.7,42.0161,-87.6647
121,10676.0,06/06/2019 12:24:00 PM,Rainbow,94.0,112.0,102.6,41.758,-87.551
122,13755.0,07/07/2020 12:42:00 PM,Oakwood,6618.0,5221.0,5878.1,41.8211,-87.5976
123,10717.0,06/06/2019 12:23:00 PM,Calumet,391.0,128.0,223.7,41.7142,-87.5299
124,10721.0,06/06/2019 12:26:00 PM,Margaret T Burroughs (31st),14.0,128.0,42.3,41.8393,-87.6072
125,10722.0,06/06/2019 12:26:00 PM,12th Street,115.0,8.0,30.3,41.8638,-87.6083
126,10719.0,06/06/2019 12:25:00 PM,63rd Street,156.0,187.0,170.8,41.7827,-87.5748
127,10726.0,06/06/2019 12:28:00 PM,Osterman,31.0,9.0,16.7,41.9877,-87.6545
128,10679.0,06/06/2019 12:28:00 PM,Montrose,118.0,61.0,84.8,41.9655,-87.6385
129,10728.0,06/06/2019 12:30:00 PM,Howard,45.0,12.0,23.2,42.0188,-87.6663
130,10677.0,06/06/2019 12:25:00 PM,57th Street,3.0,4.0,3.5,41.7911,-87.5797
132,10678.0,06/06/2019 12:27:00 PM,North Avenue,121.0,58.0,83.8,41.9148,-87.6273
133,13790.0,07/07/2020 12:42:00 PM,Calumet,855.0,644.0,742.0,41.7142,-87.5299
134,13837.0,07/07/2020 12:42:00 PM,North Avenue,2522.0,1165.0,1714.1,41.9148,-87.6273
135,13756.0,07/07/2020 12:42:00 PM,Ohio Street,13.0,232.0,54.9,41.8935,-87.6152
136,13754.0,07/07/2020 12:42:00 PM,South Shore,3009.0,7904.0,4876.8,41.7689,-87.5636
137,13840.0,07/07/2020 12:42:00 PM,Leone,120.0,124.0,122.0,42.0131,-87.6635
138,13758.0,07/07/2020 12:42:00 PM,Hartigan (Albion),460.0,462.0,461.0,42.0027,-87.6564
139,13839.0,07/07/2020 12:42:00 PM,Osterman,1561.0,491.0,875.5,41.9877,-87.6545
140,13757.0,07/07/2020 12:42:00 PM,Montrose,1252.0,345.0,657.2,41.9655,-87.6385
141,13834.0,07/07/2020 12:42:00 PM,Margaret T Burroughs (31st),1101.0,2413.0,1629.9,41.8393,-87.6072
142,13792.0,07/07/2020 12:42:00 PM,63rd Street,10948.0,8334.0,9552.0,41.7827,-87.5748
145,10788.0,06/07/2019 12:34:00 PM,Osterman,33.0,109.0,60.0,41.9877,-87.6545
146,10786.0,06/07/2019 12:32:00 PM,Margaret T Burroughs (31st),133.0,174.0,152.1,41.8393,-87.6072
147,10789.0,06/07/2019 12:34:00 PM,Hartigan (Albion),76.0,94.0,84.5,42.0027,-87.6564
148,10787.0,06/07/2019 12:32:00 PM,12th Street,59.0,75.0,66.5,41.8638,-87.6083
149,10746.0,06/07/2019 12:30:00 PM,Rainbow,7.0,18.0,11.2,41.758,-87.551
150,10745.0,06/07/2019 12:29:00 PM,Calumet,60.0,142.0,92.3,41.7142,-87.5299
151,10769.0,06/07/2019 12:33:00 PM,Foster,152.0,55.0,91.4,41.9785,-87.6515
152,10790.0,06/07/2019 12:34:00 PM,Leone,56.0,55.0,55.5,42.0131,-87.6635
153,10768.0,06/07/2019 12:33:00 PM,Montrose,37.0,293.0,104.1,41.9655,-87.6385
154,10765.0,06/07/2019 12:31:00 PM,57th Street,17.0,111.0,43.4,41.7911,-87.5797
155,10750.0,06/07/2019 12:35:00 PM,Marion Mahony Griffin (Jarvis),517.0,179.0,304.2,42.0161,-87.6647
156,10749.0,06/07/2019 12:32:00 PM,Ohio Street,861.0,599.0,718.1,41.8935,-87.6152
157,10767.0,06/07/2019 12:33:00 PM,North Avenue,172.0,135.0,152.4,41.9148,-87.6273
158,10791.0,06/07/2019 12:35:00 PM,Rogers,29.0,225.0,80.8,42.0213,-87.6666
159,10748.0,06/07/2019 12:31:00 PM,63rd Street,109.0,120.0,114.4,41.7827,-87.5748
160,10766.0,06/07/2019 12:32:00 PM,Oak Street,6.0,125.0,27.4,41.9032,-87.6235
161,10785.0,06/07/2019 12:31:00 PM,Oakwood,2.0,6.0,3.5,41.8211,-87.5976
162,10747.0,06/07/2019 12:31:00 PM,South Shore,127.0,118.0,122.4,41.7689,-87.5636
163,10751.0,06/07/2019 12:35:00 PM,Howard,113.0,62.0,83.7,42.0188,-87.6663
164,10770.0,06/08/2019 11:46:00 AM,Calumet,378.0,1693.0,800.0,41.7142,-87.5299
166,10808.0,06/08/2019 11:56:00 AM,Rogers,180.0,157.0,168.1,42.0213,-87.6666
172,10783.0,06/08/2019 11:54:00 AM,Osterman,46.0,16.0,27.1,41.9877,-87.6545
173,10807.0,06/08/2019 11:56:00 AM,Howard,94.0,36.0,58.2,42.0188,-87.6663
174,10777.0,06/08/2019 11:49:00 AM,12th Street,11.0,5.0,7.4,41.8638,-87.6083
175,10780.0,06/08/2019 11:51:00 AM,North Avenue,135.0,300.0,201.2,41.9148,-87.6273
