,Culture Test ID,Culture Sample 1 Timestamp,Beach,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Latitude,Longitude,Sample Date,Sample Time
5038,102155.0,2008-08-19 00:00:00,Rogers,32.3,40.4,36.1,42.0213,-87.6666,2008-08-19,00:00:00
5039,102940.0,2006-08-23 00:00:00,North Avenue,111.2,78.0,93.1,41.9148,-87.6273,2006-08-23,00:00:00
5040,99727.0,2008-06-01 00:00:00,Montrose,59.4,111.9,81.5,41.9655,-87.6385,2008-06-01,00:00:00
5041,100904.0,2008-08-04 00:00:00,Montrose,1299.7,1299.7,1299.7,41.9655,-87.6385,2008-08-04,00:00:00
5042,100941.0,2008-08-06 00:00:00,63rd Street,13.5,18.7,15.9,41.7827,-87.5748,2008-08-06,00:00:00
5044,111688.0,2014-05-27 00:00:00,Rainbow,4.0,435.0,41.7,41.758,-87.551,2014-05-27,00:00:00
5045,108071.0,2014-06-06 00:00:00,Calumet,27.0,43.0,34.1,41.7142,-87.5299,2014-06-06,00:00:00
5046,104992.0,2013-06-20 00:00:00,Ohio Street,30.0,12.0,19.0,41.8935,-87.6152,2013-06-20,00:00:00
5048,106709.0,2014-06-26 00:00:00,Osterman,25.0,41.0,32.0,41.9877,-87.6545,2014-06-26,00:00:00
5049,87331.0,2015-06-22 00:00:00,Howard,2.0,20.0,6.3,42.0188,-87.6663,2015-06-22,00:00:00
5050,96266.0,2011-08-12 00:00:00,57th Street,13.4,4.1,7.4,41.7911,-87.5797,2011-08-12,00:00:00
5051,113267.0,2016-07-09 10:45:00,Rainbow,173.0,147.0,159.5,41.758,-87.551,2016-07-09,10:45:00
5053,107885.0,2013-08-06 00:00:00,Howard,2.0,8.0,4.0,42.0188,-87.6663,2013-08-06,00:00:00
5054,112843.0,2016-06-10 09:20:00,57th Street,291.0,58.0,129.9,41.7911,-87.5797,2016-06-10,09:20:00
5055,106410.0,2012-06-19 00:00:00,Calumet,125.9,214.3,164.3,41.7142,-87.5299,2012-06-19,00:00:00
5056,97656.0,2011-07-28 00:00:00,North Avenue,86.0,83.9,84.9,41.9148,-87.6273,2011-07-28,00:00:00
5058,95597.0,2015-06-08 00:00:00,57th Street,1.0,1.0,1.0,41.7911,-87.5797,2015-06-08,00:00:00
5059,95686.0,2015-08-28 00:00:00,Oak Street,5.0,2.0,3.2,41.9032,-87.6235,2015-08-28,00:00:00
5061,96519.0,2011-07-13 00:00:00,Osterman,62.2,101.0,79.3,41.9877,-87.6545,2011-07-13,00:00:00
5062,110705.0,2012-08-08 00:00:00,63rd Street,35.9,55.4,44.6,41.7827,-87.5748,2012-08-08,00:00:00
5063,98800.0,2007-07-24 00:00:00,North Avenue,15.6,14.5,15.0,41.9148,-87.6273,2007-07-24,00:00:00
5065,100651.0,2007-08-14 00:00:00,63rd Street,365.4,344.5,354.8,41.7827,-87.5748,2007-08-14,00:00:00
5067,103196.0,2006-05-31 00:00:00,North Shore,6.3,9.8,7.9,42.0027,-87.6564,2006-05-31,00:00:00
5068,107159.0,2014-06-02 00:00:00,South Shore,12.0,13.0,12.5,41.7689,-87.5636,2014-06-02,00:00:00
5069,112853.0,2016-06-10 07:30:00,Osterman,1.0,1.0,1.0,41.9877,-87.6545,2016-06-10,07:30:00
5070,98077.0,2006-08-15 00:00:00,Oak Street,60.9,31.7,43.9,41.9032,-87.6235,2006-08-15,00:00:00
5072,100032.0,2008-07-11 00:00:00,12th Street,65.7,33.2,46.7,41.8638,-87.6083,2008-07-11,00:00:00
5073,97994.0,2006-08-10 00:00:00,Rainbow,49.5,96.0,68.9,41.758,-87.551,2006-08-10,00:00:00
5074,98174.0,2007-06-07 00:00:00,Foster,38.4,27.2,32.3,41.9785,-87.6515,2007-06-07,00:00:00
5075,92087.0,2009-08-26 00:00:00,Oakwood,29.5,11.0,18.0,41.8211,-87.5976,2009-08-26,00:00:00
5076,89720.0,2010-08-16 00:00:00,North Avenue,11.9,1.0,3.4,41.9148,-87.6273,2010-08-16,00:00:00
