,Date,Citywide Mean E Coli Level
181,2017-07-22,1602.0699999999997
182,2017-07-23,341.00000000000006
183,2017-07-24,2286.642105263158
184,2017-07-25,795.9315789473685
185,2017-07-26,510.075
186,2017-07-27,411.995
187,2017-07-28,554.611111111111
188,2017-07-29,403.2210526315789
189,2017-07-30,965.9999999999998
190,2017-07-31,446.15
191,2017-08-01,477.7249999999999
192,2017-08-02,474.0
193,2017-08-03,1545.1
194,2017-08-04,565.58
195,2017-08-05,1318.2631578947369
196,2017-08-06,858.0250000000002
197,2017-08-07,1049.6421052631579
198,2017-08-08,449.5550000000001
199,2017-08-09,305.3
200,2017-08-10,426.85500000000013
201,2017-08-11,489.18499999999995
202,2017-08-12,899.71
203,2017-08-13,203.32
204,2017-08-14,175.73499999999999
205,2017-08-15,593.655
206,2017-08-16,533.4263157894737
207,2017-08-17,429.43
208,2017-08-18,1175.5052631578947
209,2017-08-19,788.5500000000001
210,2017-08-20,409.10499999999996
211,2017-08-21,633.2263157894737
212,2017-08-22,243.99500000000003
213,2017-08-23,368.15
214,2017-08-24,138.73999999999998
215,2017-08-25,302.7399999999999
216,2017-08-26,191.60999999999999
217,2017-08-27,500.975
218,2017-08-28,331.0666666666666
219,2017-08-29,246.575
220,2017-08-30,2711.7999999999997
221,2017-08-31,1984.1631578947363
222,2017-09-01,804.8368421052633
223,2017-09-02,947.8300000000002
224,2017-09-03,160.34736842105266
225,2017-09-04,365.8833333333333
226,2018-05-25,472.6250000000001
227,2018-05-26,699.3166666666666
228,2018-05-27,603.9
229,2018-05-28,234.23999999999995
230,2018-05-29,257.55
231,2018-05-30,1113.5949999999998
232,2018-05-31,359.40999999999997
233,2018-06-01,1403.01
234,2018-06-02,437.44000000000005
235,2018-06-03,3561.2750000000005
236,2018-06-04,719.8149999999998
237,2018-06-05,779.2549999999999
238,2018-06-06,828.22
239,2018-06-07,751.7899999999998
240,2018-06-08,452.855
241,2018-06-09,1319.3700000000003
242,2018-06-10,9708.040000000005
243,2018-06-11,401.365
244,2018-06-12,518.43
245,2018-06-13,676.635
246,2018-06-14,319.27
247,2018-06-15,503.93999999999994
248,2018-06-16,783.1500000000001
249,2018-06-17,345.2947368421053
250,2018-06-18,51.519999999999996
251,2018-06-19,638.8666666666667
252,2018-06-20,339.8400000000001
253,2018-06-21,225.63500000000005
254,2018-06-22,2273.021052631579
255,2018-06-23,563.92
256,2018-06-24,677.9649999999999
257,2018-06-25,278.59473684210525
258,2018-06-26,156.725
259,2018-06-27,310.0105263157895
260,2018-06-28,182.26
261,2018-06-29,824.3100000000001
262,2018-06-30,639.3799999999999
263,2018-07-01,143.95
264,2018-07-02,824.7700000000001
265,2018-07-03,289.40714285714284
266,2018-07-04,587.6705882352941
267,2018-07-05,352.68
268,2018-07-06,2582.2666666666673
269,2018-07-07,613.7631578947368
270,2018-07-08,744.67
271,2018-07-09,263.8947368421053
272,2018-07-10,631.1650000000002
273,2018-07-11,3922.715
274,2018-07-12,541.825
275,2018-07-13,656.105
276,2018-07-14,529.575
277,2018-07-15,190.235
278,2018-07-16,785.615
279,2018-07-17,912.5350000000001
280,2018-07-18,720.2650000000001
281,2018-07-19,287.00499999999994
282,2018-07-20,354.725
283,2018-07-21,1809.0400000000002
284,2018-07-22,725.3117647058825
285,2018-07-23,233.70499999999998
286,2018-07-24,270.02000000000004
287,2018-07-25,213.97500000000008
288,2018-07-26,341.04499999999996
289,2018-07-27,181.24999999999994
290,2018-07-28,124.41578947368421
291,2018-07-29,144.5
292,2018-07-30,164.47499999999997
293,2018-07-31,625.8999999999999
294,2018-08-01,120.25714285714288
295,2018-08-02,695.8299999999997
296,2018-08-03,734.7850000000001
297,2018-08-04,299.35294117647067
298,2018-08-05,576.1705882352941
299,2018-08-06,6950.023529411765
300,2018-08-07,266.55000000000007
301,2018-08-08,1562.5849999999998
302,2018-08-09,134.57
303,2018-08-10,433.9
304,2018-08-11,563.1111111111112
305,2018-08-12,512.6157894736841
306,2018-08-13,787.2
307,2018-08-14,601.2400000000001
308,2018-08-15,419.08000000000004
309,2018-08-16,342.265
310,2018-08-17,799.7444444444443
311,2018-08-18,1499.8684210526317
312,2018-08-19,1001.8210526315788
313,2018-08-20,4185.0199999999995
314,2018-08-21,228.64500000000004
315,2018-08-22,1067.4799999999998
316,2018-08-23,501.46000000000015
317,2018-08-24,346.37
318,2018-08-25,450.36500000000007
319,2018-08-26,344.33000000000004
320,2018-08-27,710.245
321,2018-08-28,728.02
322,2018-08-29,3913.5649999999996
323,2018-08-30,1988.985
324,2018-08-31,384.58
325,2018-09-01,1020.8999999999999
326,2018-09-02,359.79499999999996
327,2018-09-03,449.52777777777777
328,2019-05-24,47.58888888888889
329,2019-05-25,48.51666666666667
330,2019-05-26,152.425
331,2019-05-27,211.83684210526312
332,2019-05-28,90.63157894736841
333,2019-05-29,286.55555555555543
334,2019-05-30,46.46
335,2019-05-31,84.71578947368421
336,2019-06-01,141.95263157894738
337,2019-06-02,120.03157894736844
338,2019-06-03,55.67368421052631
339,2019-06-04,98.3
340,2019-06-05,166.76315789473685
341,2019-06-06,91.27222222222221
342,2019-06-07,124.6263157894737
343,2019-06-08,860.8526315789474
344,2019-06-09,239.2315789473684
345,2019-06-10,106.00526315789476
346,2019-06-11,24.763157894736842
347,2019-06-12,32.205000000000005
348,2019-06-13,456.125
349,2019-06-14,74.6
350,2019-06-15,56.57000000000001
351,2019-06-16,112.43499999999997
352,2019-06-17,60.63499999999999
353,2019-06-18,177.48499999999999
354,2019-06-19,361.8368421052632
355,2019-06-20,302.02777777777777
356,2019-06-21,53.050000000000004
357,2019-06-22,265.08421052631587
358,2019-06-23,51.11578947368421
359,2019-06-24,86.83157894736843
360,2019-06-25,107.67894736842105
361,2019-06-26,63.08333333333334
362,2019-06-27,84.36315789473683
363,2019-06-28,203.43684210526314
364,2019-06-29,135.66842105263157
365,2019-06-30,177.22631578947366
366,2019-07-01,526.5421052631581
367,2019-07-02,256.8052631578947
368,2019-07-03,1603.3736842105263
369,2019-07-04,294.11
370,2019-07-05,105.13
371,2019-07-06,981.665
372,2019-07-07,630.2882352941177
373,2019-07-08,694.7736842105263
374,2019-07-09,664.3842105263159
375,2019-07-10,476.1
376,2019-07-11,129.82
377,2019-07-12,684.4399999999998
378,2019-07-13,80.1
379,2019-07-14,480.1899999999999
380,2019-07-15,301.87
381,2019-07-16,47.43000000000001
382,2019-07-17,437.42105263157896
383,2019-07-18,266.15263157894736
384,2019-07-19,72.595
385,2019-07-20,2362.0099999999993
386,2019-07-21,468.8210526315789
387,2019-07-22,961.9849999999997
388,2019-07-23,249.58499999999998
389,2019-07-24,257.11
390,2019-07-25,103.82000000000001
391,2019-07-26,134.08499999999998
392,2019-07-27,112.35499999999998
393,2019-07-28,164.035
394,2019-07-29,64.925
395,2019-07-30,662.9399999999999
396,2019-07-31,277.12
397,2019-08-01,364.805
398,2019-08-02,250.50999999999993
399,2019-08-03,237.65499999999997
400,2019-08-04,230.96999999999997
401,2019-08-05,464.005
402,2019-08-06,1208.6150000000002
403,2019-08-07,44.98500000000001
404,2019-08-08,206.775
405,2019-08-09,111.04499999999999
406,2019-08-10,89.28421052631576
407,2019-08-11,58.40526315789473
408,2019-08-12,48.644999999999996
409,2019-08-13,322.465
410,2019-08-14,980.95
411,2019-08-15,493.73
412,2019-08-16,256.225
413,2019-08-17,72.555
414,2019-08-18,150.25500000000002
415,2019-08-19,149.17
416,2019-08-20,230.365
417,2019-08-21,57.410000000000004
418,2019-08-22,532.2450000000001
419,2019-08-23,457.66315789473686
420,2019-08-24,46.03157894736842
421,2019-08-25,156.44000000000003
422,2019-08-26,174.325
423,2019-08-27,215.15500000000003
424,2019-08-28,295.365
425,2019-08-29,34.931578947368415
426,2019-08-30,487.2999999999999
427,2019-08-31,118.82631578947367
428,2019-09-01,218.99999999999994
429,2019-09-02,143.14499999999995
430,2020-07-06,636.2312499999999
431,2020-07-07,2340.9411764705883
432,2020-07-08,664.4571428571427
