,Date,Citywide Mean E Coli Level
0,2006-05-23,18.438888888888886
1,2006-05-24,22.54444444444444
2,2006-05-25,106.7333333333333
3,2006-05-26,20.135294117647057
4,2006-05-30,6.566666666666666
5,2006-05-31,100.57777777777777
6,2006-06-01,41.42222222222222
7,2006-06-02,13.761111111111113
8,2006-06-05,2.8666666666666667
9,2006-06-06,47.894444444444446
10,2006-06-07,254.21666666666664
11,2006-06-08,6.916666666666667
12,2006-06-12,1.1
13,2006-06-13,1.1166666666666667
14,2006-06-14,25.061111111111117
15,2006-06-15,18.327777777777776
16,2006-06-16,33.2
17,2006-06-19,23.788888888888888
18,2006-06-20,75.88235294117646
19,2006-06-21,428.7555555555556
20,2006-06-22,108.24444444444444
21,2006-06-23,130.5611111111111
22,2006-06-25,35.6
23,2006-06-26,94.42777777777779
24,2006-06-27,126.01666666666668
25,2006-06-28,6.138888888888889
26,2006-06-29,5.583333333333333
27,2006-06-30,51.561111111111124
28,2006-07-03,33.0
29,2006-07-07,1907.1888888888886
30,2006-07-10,698.2166666666665
31,2006-07-11,116.93846153846154
32,2006-07-12,94.21875
33,2006-07-13,150.16111111111115
34,2006-07-14,89.63529411764706
35,2006-07-17,134.92307692307693
36,2006-07-18,556.5055555555555
37,2006-07-19,199.3294117647059
38,2006-07-20,555.1470588235293
39,2006-07-21,245.32499999999996
40,2006-07-22,451.475
41,2006-07-24,68.92499999999998
42,2006-07-25,149.945
43,2006-07-26,137.57894736842104
44,2006-07-27,201.84375000000003
45,2006-07-28,435.31000000000006
46,2006-07-29,272.3
47,2006-07-31,21.509999999999998
48,2006-08-01,35.08
49,2006-08-02,38.77499999999999
50,2006-08-03,960.7789473684209
51,2006-08-04,81.82105263157894
52,2006-08-07,204.18
53,2006-08-08,116.67
54,2006-08-09,138.81578947368422
55,2006-08-10,157.27500000000003
56,2006-08-11,216.36842105263162
57,2006-08-12,1355.5
58,2006-08-13,35.2
59,2006-08-14,82.74500000000002
60,2006-08-15,84.68499999999999
61,2006-08-16,172.3
62,2006-08-17,50.894999999999996
63,2006-08-18,102.09
64,2006-08-21,110.2
65,2006-08-22,115.075
66,2006-08-23,217.31578947368425
67,2006-08-24,508.6947368421053
68,2006-08-25,148.34736842105264
69,2006-08-28,775.7149999999999
70,2006-08-29,252.01999999999998
71,2006-08-30,109.83999999999999
72,2006-08-31,62.35
73,2006-09-01,154.32999999999998
74,2007-05-28,13.264705882352942
75,2007-05-29,32.27222222222223
76,2007-05-30,15.738888888888889
77,2007-05-31,53.11176470588235
78,2007-06-01,411.6555555555556
79,2007-06-02,1156.1666666666667
80,2007-06-03,325.85
81,2007-06-04,60.71111111111111
82,2007-06-05,372.1
83,2007-06-06,67.27222222222223
84,2007-06-07,69.81666666666666
85,2007-06-08,104.41875000000002
86,2007-06-11,141.50555555555556
87,2007-06-12,113.15555555555557
88,2007-06-13,108.4111111111111
89,2007-06-14,43.68571428571429
90,2007-06-15,58.55555555555556
91,2007-06-18,59.455555555555556
92,2007-06-19,371.2277777777778
93,2007-06-20,110.3388888888889
94,2007-06-21,100.46111111111111
95,2007-06-22,220.08888888888885
96,2007-06-25,60.1888888888889
97,2007-06-26,40.48333333333333
98,2007-06-27,149.69444444444446
99,2007-06-28,526.7666666666667
100,2007-06-29,567.5833333333334
101,2007-07-02,35.21764705882353
102,2007-07-03,32.42777777777778
103,2007-07-04,283.2055555555555
104,2007-07-05,112.58333333333333
105,2007-07-06,561.911111111111
106,2007-07-07,89.46666666666668
107,2007-07-09,82.88333333333334
108,2007-07-10,207.8
109,2007-07-11,983.6388888888889
110,2007-07-12,86.48333333333333
111,2007-07-13,105.52222222222223
112,2007-07-16,114.58333333333336
113,2007-07-17,378.6666666666667
114,2007-07-18,121.00555555555553
115,2007-07-19,138.3444444444444
116,2007-07-20,319.10555555555555
117,2007-07-23,192.98333333333335
118,2007-07-24,70.11666666666666
119,2007-07-25,139.69444444444446
120,2007-07-26,689.9944444444445
121,2007-07-27,297.9611111111111
122,2007-07-28,402.9
123,2007-07-29,201.16666666666666
124,2007-07-30,72.82777777777778
125,2007-07-31,58.933333333333344
126,2007-08-01,235.53333333333336
127,2007-08-02,56.494736842105254
128,2007-08-03,228.84736842105266
129,2007-08-04,339.5
130,2007-08-05,232.39999999999998
131,2007-08-06,59.98888888888889
132,2007-08-07,167.82777777777778
133,2007-08-08,148.04444444444442
134,2007-08-09,272.49999999999994
135,2007-08-10,108.18333333333332
136,2007-08-11,1346.5
137,2007-08-12,711.0
138,2007-08-13,269.43333333333334
139,2007-08-14,1019.8444444444443
140,2007-08-15,183.34444444444443
141,2007-08-16,127.89999999999999
142,2007-08-17,68.81666666666666
143,2007-08-18,80.1
144,2007-08-20,418.43888888888875
145,2007-08-21,368.9555555555556
146,2007-08-22,62.46111111111112
147,2007-08-23,86.10555555555555
148,2007-08-24,146.65555555555557
149,2007-08-25,529.2055555555554
150,2007-08-26,338.4277777777778
151,2007-08-27,173.04999999999998
152,2007-08-28,79.62222222222223
153,2007-08-29,67.78333333333332
154,2007-08-30,442.65
155,2007-08-31,140.5722222222222
156,2007-09-01,81.19999999999999
157,2008-05-27,383.75555555555565
158,2008-05-28,64.91111111111111
159,2008-05-29,37.83888888888889
160,2008-05-30,214.08333333333337
161,2008-05-31,297.6
162,2008-06-01,88.25
163,2008-06-02,10.02222222222222
164,2008-06-03,280.3111111111111
165,2008-06-04,99.12777777777778
166,2008-06-05,57.050000000000004
167,2008-06-06,16.27777777777778
168,2008-06-09,215.9111111111111
169,2008-06-10,10.505555555555555
