,DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Latitude,Longitude,Sample Date,Sample Time
1905,12997.0,2019-08-08 11:55:00,12th Street,9.0,54.0,22.0,41.8638,-87.6083,2019-08-08,11:55:00
1906,13000.0,2019-08-08 11:57:00,North Avenue,145.0,127.0,135.7,41.9148,-87.6273,2019-08-08,11:57:00
1907,12979.0,2019-08-08 11:55:00,Margaret T Burroughs (31st),16.0,144.0,48.0,41.8393,-87.6072,2019-08-08,11:55:00
1908,12996.0,2019-08-08 11:54:00,Oakwood,525.0,248.0,360.8,41.8211,-87.5976,2019-08-08,11:54:00
1909,12994.0,2019-08-08 11:53:00,South Shore,275.0,379.0,322.8,41.7689,-87.5636,2019-08-08,11:53:00
1910,13001.0,2019-08-08 11:57:00,Foster,142.0,146.0,144.0,41.9785,-87.6515,2019-08-08,11:57:00
1911,12977.0,2019-08-08 11:52:00,Calumet,201.0,1654.0,576.6,41.7142,-87.5299,2019-08-08,11:52:00
1912,13003.0,2019-08-08 12:00:00,Rogers,228.0,318.0,269.3,42.0213,-87.6666,2019-08-08,12:00:00
1914,13038.0,2019-08-09 11:59:00,Marion Mahony Griffin (Jarvis),79.0,311.0,156.7,42.0161,-87.6647,2019-08-09,11:59:00
1915,13008.0,2019-08-09 11:54:00,12th Street,2.0,44.0,9.4,41.8638,-87.6083,2019-08-09,11:54:00
1916,13012.0,2019-08-09 11:56:00,North Avenue,18.0,47.0,29.1,41.9148,-87.6273,2019-08-09,11:56:00
1917,13037.0,2019-08-09 11:59:00,Leone,45.0,82.0,60.7,42.0131,-87.6635,2019-08-09,11:59:00
1918,13413.0,2019-08-23 12:07:00,Rainbow,443.0,435.0,439.0,41.758,-87.551,2019-08-23,12:07:00
1919,13359.0,2019-08-23 12:11:00,12th Street,200.0,591.0,343.8,41.8638,-87.6083,2019-08-23,12:11:00
1920,13362.0,2019-08-23 12:14:00,Montrose,251.0,207.0,227.9,41.9655,-87.6385,2019-08-23,12:14:00
1921,13364.0,2019-08-23 12:15:00,Hartigan (Albion),477.0,356.0,412.1,42.0027,-87.6564,2019-08-23,12:15:00
1923,13035.0,2019-08-09 11:58:00,Osterman,55.0,31.0,41.3,41.9877,-87.6545,2019-08-09,11:58:00
1924,13033.0,2019-08-09 11:57:00,Montrose,197.0,63.0,111.4,41.9655,-87.6385,2019-08-09,11:57:00
1925,13005.0,2019-08-09 11:53:00,57th Street,32.0,10.0,17.9,41.7911,-87.5797,2019-08-09,11:53:00
1926,13010.0,2019-08-09 11:55:00,Oak Street,3.0,3.0,3.0,41.9032,-87.6235,2019-08-09,11:55:00
1927,13011.0,2019-08-09 11:56:00,Humboldt,5.0,2.0,3.2,41.90643,-87.703717,2019-08-09,11:56:00
1929,13007.0,2019-08-09 11:54:00,Margaret T Burroughs (31st),75.0,46.0,58.7,41.8393,-87.6072,2019-08-09,11:54:00
1930,13013.0,2019-08-09 11:50:00,Calumet,235.0,119.0,167.2,41.7142,-87.5299,2019-08-09,11:50:00
1931,13004.0,2019-08-09 11:51:00,Rainbow,11.0,17.0,13.7,41.758,-87.551,2019-08-09,11:51:00
1932,13036.0,2019-08-09 11:58:00,Hartigan (Albion),34.0,88.0,54.7,42.0027,-87.6564,2019-08-09,11:58:00
1933,13034.0,2019-08-09 11:57:00,Foster,11.0,8.0,9.4,41.9785,-87.6515,2019-08-09,11:57:00
1934,13014.0,2019-08-09 11:52:00,South Shore,195.0,1256.0,494.9,41.7689,-87.5636,2019-08-09,11:52:00
1935,13009.0,2019-08-09 11:55:00,Ohio Street,201.0,226.0,213.1,41.8935,-87.6152,2019-08-09,11:55:00
1936,13006.0,2019-08-09 11:53:00,Oakwood,4661.0,9.0,204.8,41.8211,-87.5976,2019-08-09,11:53:00
1937,13015.0,2019-08-09 11:52:00,63rd Street,131.0,111.0,120.6,41.7827,-87.5748,2019-08-09,11:52:00
1938,13363.0,2019-08-23 12:14:00,Foster,210.0,801.0,410.1,41.9785,-87.6515,2019-08-23,12:14:00
1940,13407.0,2019-08-23 12:11:00,Margaret T Burroughs (31st),513.0,1315.0,821.3,41.8393,-87.6072,2019-08-23,12:11:00
1941,13358.0,2019-08-23 12:10:00,Oakwood,446.0,804.0,598.8,41.8211,-87.5976,2019-08-23,12:10:00
1942,13367.0,2019-08-23 12:18:00,Rogers,581.0,497.0,537.4,42.0213,-87.6666,2019-08-23,12:18:00
1944,13365.0,2019-08-23 12:16:00,Leone,626.0,361.0,475.4,42.0131,-87.6635,2019-08-23,12:16:00
1945,13410.0,2019-08-23 12:15:00,Osterman,411.0,576.0,486.6,41.9877,-87.6545,2019-08-23,12:15:00
1947,13361.0,2019-08-23 12:13:00,Humboldt,2.0,181.0,19.0,41.90643,-87.703717,2019-08-23,12:13:00
1948,13409.0,2019-08-23 12:13:00,North Avenue,203.0,226.0,214.2,41.9148,-87.6273,2019-08-23,12:13:00
1949,13360.0,2019-08-23 12:12:00,Oak Street,152.0,228.0,186.2,41.9032,-87.6235,2019-08-23,12:12:00
1950,13414.0,2019-08-23 12:08:00,South Shore,689.0,115.0,281.5,41.7689,-87.5636,2019-08-23,12:08:00
1951,13366.0,2019-08-23 12:17:00,Howard,590.0,323.0,436.5,42.0188,-87.6663,2019-08-23,12:17:00
1952,13415.0,2019-08-23 12:09:00,57th Street,1002.0,1426.0,1195.3,41.7911,-87.5797,2019-08-23,12:09:00
1953,13406.0,2019-08-23 12:09:00,63rd Street,138.0,535.0,271.7,41.7827,-87.5748,2019-08-23,12:09:00
1956,13040.0,2019-08-09 12:00:00,Rogers,135.0,250.0,183.7,42.0213,-87.6666,2019-08-09,12:00:00
1957,13039.0,2019-08-09 11:59:00,Howard,216.0,331.0,267.4,42.0188,-87.6663,2019-08-09,11:59:00
1959,13029.0,2019-08-10 11:30:00,Osterman,74.0,23.0,41.3,41.9877,-87.6545,2019-08-10,11:30:00
1960,13030.0,2019-08-10 11:30:00,Hartigan (Albion),433.0,123.0,230.8,42.0027,-87.6564,2019-08-10,11:30:00
1961,13025.0,2019-08-10 11:28:00,Oak Street,164.0,219.0,189.5,41.9032,-87.6235,2019-08-10,11:28:00
1962,13032.0,2019-08-10 11:31:00,Marion Mahony Griffin (Jarvis),134.0,142.0,137.9,42.0161,-87.6647,2019-08-10,11:31:00
1963,13053.0,2019-08-10 11:31:00,Howard,213.0,185.0,198.5,42.0188,-87.6663,2019-08-10,11:31:00
1964,13054.0,2019-08-10 11:31:00,Rogers,217.0,90.0,139.7,42.0213,-87.6666,2019-08-10,11:31:00
1965,13021.0,2019-08-10 11:27:00,Oakwood,9.0,24.0,14.7,41.8211,-87.5976,2019-08-10,11:27:00
1966,13028.0,2019-08-10 11:29:00,Foster,80.0,44.0,59.3,41.9785,-87.6515,2019-08-10,11:29:00
1967,13027.0,2019-08-10 11:29:00,Montrose,75.0,100.0,86.6,41.9655,-87.6385,2019-08-10,11:29:00
1968,13026.0,2019-08-10 11:29:00,North Avenue,10.0,16.0,12.6,41.9148,-87.6273,2019-08-10,11:29:00
1969,13022.0,2019-08-10 11:27:00,Margaret T Burroughs (31st),395.0,65.0,160.2,41.8393,-87.6072,2019-08-10,11:27:00
1970,13020.0,2019-08-10 11:27:00,57th Street,16.0,40.0,25.3,41.7911,-87.5797,2019-08-10,11:27:00
1971,13031.0,2019-08-10 11:30:00,Leone,112.0,52.0,76.3,42.0131,-87.6635,2019-08-10,11:30:00
1972,13019.0,2019-08-10 11:27:00,63rd Street,55.0,8.0,21.0,41.7827,-87.5748,2019-08-10,11:27:00
1974,13023.0,2019-08-10 11:28:00,12th Street,145.0,93.0,116.1,41.8638,-87.6083,2019-08-10,11:28:00
1975,13018.0,2019-08-10 11:26:00,South Shore,23.0,110.0,50.3,41.7689,-87.5636,2019-08-10,11:26:00
1976,13016.0,2019-08-10 11:26:00,Calumet,4.0,73.0,17.1,41.7142,-87.5299,2019-08-10,11:26:00
1977,13017.0,2019-08-10 11:26:00,Rainbow,24.0,47.0,33.6,41.758,-87.551,2019-08-10,11:26:00
1978,13024.0,2019-08-10 11:28:00,Ohio Street,45.0,163.0,85.6,41.8935,-87.6152,2019-08-10,11:28:00
1979,13080.0,2019-08-11 11:32:00,North Avenue,14.0,68.0,30.9,41.9148,-87.6273,2019-08-11,11:32:00
1980,13045.0,2019-08-11 11:32:00,Foster,243.0,115.0,167.2,41.9785,-87.6515,2019-08-11,11:32:00
1982,13433.0,2019-08-24 11:49:00,South Shore,16.0,88.0,37.5,41.7689,-87.5636,2019-08-24,11:49:00
1983,13434.0,2019-08-24 11:53:00,12th Street,21.0,12.0,15.9,41.8638,-87.6083,2019-08-24,11:53:00
1984,13436.0,2019-08-24 11:58:00,Foster,122.0,170.0,144.0,41.9785,-87.6515,2019-08-24,11:58:00
1987,13082.0,2019-08-11 11:32:00,Osterman,42.0,61.0,50.6,41.9877,-87.6545,2019-08-11,11:32:00
1988,13077.0,2019-08-11 11:31:00,Margaret T Burroughs (31st),7.0,38.0,16.3,41.8393,-87.6072,2019-08-11,11:31:00
1989,13043.0,2019-08-11 11:31:00,12th Street,17.0,13.0,14.9,41.8638,-87.6083,2019-08-11,11:31:00
1990,13073.0,2019-08-11 11:29:00,Calumet,27.0,122.0,57.4,41.7142,-87.5299,2019-08-11,11:29:00
1991,13047.0,2019-08-11 11:33:00,Rogers,108.0,65.0,83.8,42.0213,-87.6666,2019-08-11,11:33:00
1992,13081.0,2019-08-11 11:32:00,Montrose,2.0,30.0,7.7,41.9655,-87.6385,2019-08-11,11:32:00
1993,13084.0,2019-08-11 11:33:00,Marion Mahony Griffin (Jarvis),53.0,54.0,53.5,42.0161,-87.6647,2019-08-11,11:33:00
1994,13076.0,2019-08-11 11:30:00,Oakwood,41.0,7.0,16.9,41.8211,-87.5976,2019-08-11,11:30:00
1996,13074.0,2019-08-11 11:30:00,South Shore,95.0,55.0,72.3,41.7689,-87.5636,2019-08-11,11:30:00
1997,13075.0,2019-08-11 11:30:00,63rd Street,25.0,158.0,62.8,41.7827,-87.5748,2019-08-11,11:30:00
1998,13046.0,2019-08-11 11:33:00,Leone,31.0,101.0,56.0,42.0131,-87.6635,2019-08-11,11:33:00
1999,13041.0,2019-08-11 11:30:00,Rainbow,38.0,9.0,18.5,41.758,-87.551,2019-08-11,11:30:00
2000,13042.0,2019-08-11 11:30:00,57th Street,16.0,6.0,9.8,41.7911,-87.5797,2019-08-11,11:30:00
2001,13083.0,2019-08-11 11:33:00,Hartigan (Albion),241.0,329.0,281.6,42.0027,-87.6564,2019-08-11,11:33:00
2002,13044.0,2019-08-11 11:31:00,Humboldt,5.0,3.0,3.9,41.90643,-87.703717,2019-08-11,11:31:00
2003,13078.0,2019-08-11 11:31:00,Ohio Street,14.0,39.0,23.4,41.8935,-87.6152,2019-08-11,11:31:00
2005,13085.0,2019-08-11 11:33:00,Howard,123.0,55.0,82.2,42.0188,-87.6663,2019-08-11,11:33:00
2006,13419.0,2019-08-24 11:51:00,57th Street,163.0,13.0,46.0,41.7911,-87.5797,2019-08-24,11:51:00
2008,13435.0,2019-08-24 11:56:00,Humboldt,68.0,7.0,21.8,41.90643,-87.703717,2019-08-24,11:56:00
2009,13424.0,2019-08-24 11:57:00,North Avenue,85.0,17.0,38.0,41.9148,-87.6273,2019-08-24,11:57:00
2010,13423.0,2019-08-24 11:55:00,Oak Street,183.0,31.0,75.3,41.9032,-87.6235,2019-08-24,11:55:00
2012,13115.0,2019-08-12 12:06:00,Ohio Street,53.0,69.0,60.5,41.8935,-87.6152,2019-08-12,12:06:00
2013,13094.0,2019-08-12 12:03:00,Rainbow,41.0,3.0,11.1,41.758,-87.551,2019-08-12,12:03:00
2015,13103.0,2019-08-12 12:09:00,Hartigan (Albion),42.0,15.0,25.1,42.0027,-87.6564,2019-08-12,12:09:00
2016,13093.0,2019-08-12 12:03:00,Calumet,24.0,37.0,29.8,41.7142,-87.5299,2019-08-12,12:03:00
2017,13113.0,2019-08-12 12:04:00,South Shore,8.0,25.0,14.1,41.7689,-87.5636,2019-08-12,12:04:00
2018,13118.0,2019-08-12 12:10:00,Marion Mahony Griffin (Jarvis),188.0,72.0,116.3,42.0161,-87.6647,2019-08-12,12:10:00
2019,13102.0,2019-08-12 12:08:00,Foster,88.0,198.0,132.0,41.9785,-87.6515,2019-08-12,12:08:00
2020,13095.0,2019-08-12 12:04:00,63rd Street,37.0,9.0,18.2,41.7827,-87.5748,2019-08-12,12:04:00
2021,13101.0,2019-08-12 12:08:00,Montrose,20.0,51.0,31.9,41.9655,-87.6385,2019-08-12,12:08:00
2022,13104.0,2019-08-12 12:09:00,Leone,11.0,115.0,35.6,42.0131,-87.6635,2019-08-12,12:09:00
2023,13106.0,2019-08-12 12:10:00,Rogers,58.0,327.0,137.7,42.0213,-87.6666,2019-08-12,12:10:00
2024,13097.0,2019-08-12 12:05:00,Margaret T Burroughs (31st),8.0,2.0,4.0,41.8393,-87.6072,2019-08-12,12:05:00
2025,13114.0,2019-08-12 12:05:00,Oakwood,3.0,8.0,4.9,41.8211,-87.5976,2019-08-12,12:05:00
2026,13099.0,2019-08-12 12:06:00,Oak Street,59.0,49.0,53.8,41.9032,-87.6235,2019-08-12,12:06:00
2027,13100.0,2019-08-12 12:07:00,Humboldt,18.0,70.0,35.5,41.90643,-87.703717,2019-08-12,12:07:00
2028,13116.0,2019-08-12 12:07:00,North Avenue,31.0,68.0,45.9,41.9148,-87.6273,2019-08-12,12:07:00
2029,13098.0,2019-08-12 12:05:00,12th Street,51.0,77.0,62.7,41.8638,-87.6083,2019-08-12,12:05:00
2030,13105.0,2019-08-12 12:10:00,Howard,14.0,3.0,6.5,42.0188,-87.6663,2019-08-12,12:10:00
2031,13096.0,2019-08-12 12:04:00,57th Street,92.0,18.0,40.7,41.7911,-87.5797,2019-08-12,12:04:00
2032,13117.0,2019-08-12 12:08:00,Osterman,94.0,121.0,106.6,41.9877,-87.6545,2019-08-12,12:08:00
2033,13140.0,2019-08-13 12:44:00,Foster,262.0,548.0,378.9,41.9785,-87.6515,2019-08-13,12:44:00
2034,13144.0,2019-08-13 12:46:00,Rogers,55.0,121.0,81.6,42.0213,-87.6666,2019-08-13,12:46:00
2035,13417.0,2019-08-24 11:49:00,Rainbow,9.0,5.0,6.7,41.758,-87.551,2019-08-24,11:49:00
2036,13418.0,2019-08-24 11:50:00,63rd Street,18.0,2.0,6.0,41.7827,-87.5748,2019-08-24,11:50:00
2037,13425.0,2019-08-24 11:57:00,Montrose,12.0,71.0,29.2,41.9655,-87.6385,2019-08-24,11:57:00
2038,13416.0,2019-08-24 11:48:00,Calumet,2.0,37.0,8.6,41.7142,-87.5299,2019-08-24,11:48:00
2039,13421.0,2019-08-24 11:52:00,Margaret T Burroughs (31st),15.0,9.0,11.6,41.8393,-87.6072,2019-08-24,11:52:00
2040,13422.0,2019-08-24 11:54:00,Ohio Street,66.0,22.0,38.1,41.8935,-87.6152,2019-08-24,11:54:00
2041,13426.0,2019-08-24 11:58:00,Osterman,154.0,88.0,116.4,41.9877,-87.6545,2019-08-24,11:58:00
2047,13133.0,2019-08-13 12:39:00,Rainbow,55.0,27.0,38.5,41.758,-87.551,2019-08-13,12:39:00
2048,13119.0,2019-08-13 12:38:00,Calumet,1339.0,960.0,1133.8,41.7142,-87.5299,2019-08-13,12:38:00
2049,13142.0,2019-08-13 12:45:00,Leone,1878.0,342.0,801.4,42.0131,-87.6635,2019-08-13,12:45:00
2050,13139.0,2019-08-13 12:43:00,North Avenue,265.0,47.0,111.6,41.9148,-87.6273,2019-08-13,12:43:00
2051,13086.0,2019-08-13 12:40:00,57th Street,7.0,626.0,66.2,41.7911,-87.5797,2019-08-13,12:40:00
2052,13135.0,2019-08-13 12:41:00,Oakwood,197.0,26.0,71.6,41.8211,-87.5976,2019-08-13,12:41:00
2053,13143.0,2019-08-13 12:45:00,Marion Mahony Griffin (Jarvis),623.0,866.0,734.5,42.0161,-87.6647,2019-08-13,12:45:00
2054,13138.0,2019-08-13 12:42:00,Humboldt,308.0,101.0,176.4,41.90643,-87.703717,2019-08-13,12:42:00
2056,13137.0,2019-08-13 12:42:00,Ohio Street,421.0,240.0,317.9,41.8935,-87.6152,2019-08-13,12:42:00
2057,13124.0,2019-08-13 12:44:00,Hartigan (Albion),139.0,318.0,210.2,42.0027,-87.6564,2019-08-13,12:44:00
2058,13120.0,2019-08-13 12:40:00,63rd Street,36.0,156.0,74.9,41.7827,-87.5748,2019-08-13,12:40:00
2059,13134.0,2019-08-13 12:40:00,South Shore,39.0,118.0,67.8,41.7689,-87.5636,2019-08-13,12:40:00
2060,13136.0,2019-08-13 12:41:00,12th Street,850.0,200.0,412.3,41.8638,-87.6083,2019-08-13,12:41:00
2061,13141.0,2019-08-13 12:44:00,Osterman,507.0,499.0,503.0,41.9877,-87.6545,2019-08-13,12:44:00
2062,13121.0,2019-08-13 12:41:00,Margaret T Burroughs (31st),293.0,314.0,303.3,41.8393,-87.6072,2019-08-13,12:41:00
2063,13125.0,2019-08-13 12:46:00,Howard,622.0,315.0,442.6,42.0188,-87.6663,2019-08-13,12:46:00
2064,13123.0,2019-08-13 12:43:00,Montrose,130.0,273.0,188.4,41.9655,-87.6385,2019-08-13,12:43:00
2065,13122.0,2019-08-13 12:42:00,Oak Street,841.0,133.0,334.4,41.9032,-87.6235,2019-08-13,12:42:00
2066,13437.0,2019-08-24 12:01:00,Marion Mahony Griffin (Jarvis),95.0,52.0,70.3,42.0161,-87.6647,2019-08-24,12:01:00
2067,13427.0,2019-08-24 11:59:00,Hartigan (Albion),60.0,21.0,35.5,42.0027,-87.6564,2019-08-24,11:59:00
2068,13430.0,2019-08-24 12:02:00,Rogers,15.0,85.0,35.7,42.0213,-87.6666,2019-08-24,12:02:00
2069,13429.0,2019-08-24 12:01:00,Howard,52.0,113.0,76.7,42.0188,-87.6663,2019-08-24,12:01:00
2074,13148.0,2019-08-14 11:54:00,Oakwood,178.0,236.0,205.0,41.8211,-87.5976,2019-08-14,11:54:00
2075,13177.0,2019-08-14 11:58:00,Howard,840.0,2615.0,1482.1,42.0188,-87.6663,2019-08-14,11:58:00
2076,13175.0,2019-08-14 11:57:00,Hartigan (Albion),297.0,388.0,339.5,42.0027,-87.6564,2019-08-14,11:57:00
2077,13147.0,2019-08-14 11:53:00,63rd Street,285.0,232.0,257.1,41.7827,-87.5748,2019-08-14,11:53:00
2078,13159.0,2019-08-14 11:58:00,Rogers,4492.0,650.0,1708.7,42.0213,-87.6666,2019-08-14,11:58:00
2079,13150.0,2019-08-14 11:55:00,Ohio Street,842.0,875.0,858.3,41.8935,-87.6152,2019-08-14,11:55:00
2080,13156.0,2019-08-14 11:55:00,Humboldt,4963.0,2211.0,3312.6,41.90643,-87.703717,2019-08-14,11:55:00
2081,13153.0,2019-08-14 11:53:00,Rainbow,6191.0,8674.0,7328.1,41.758,-87.551,2019-08-14,11:53:00
2082,13174.0,2019-08-14 11:57:00,Osterman,502.0,261.0,362.0,41.9877,-87.6545,2019-08-14,11:57:00
2083,13157.0,2019-08-14 11:56:00,Foster,15.0,166.0,49.9,41.9785,-87.6515,2019-08-14,11:56:00
2084,13176.0,2019-08-14 11:57:00,Marion Mahony Griffin (Jarvis),480.0,283.0,368.6,42.0161,-87.6647,2019-08-14,11:57:00
2085,13155.0,2019-08-14 11:54:00,12th Street,9.0,15.0,11.6,41.8638,-87.6083,2019-08-14,11:54:00
2086,13151.0,2019-08-14 11:55:00,Oak Street,45.0,11.0,22.2,41.9032,-87.6235,2019-08-14,11:55:00
2087,13152.0,2019-08-14 11:56:00,North Avenue,598.0,368.0,469.1,41.9148,-87.6273,2019-08-14,11:56:00
2088,13158.0,2019-08-14 11:57:00,Leone,707.0,531.0,612.7,42.0131,-87.6635,2019-08-14,11:57:00
2089,13154.0,2019-08-14 11:53:00,57th Street,240.0,155.0,192.9,41.7911,-87.5797,2019-08-14,11:53:00
2090,13173.0,2019-08-14 11:56:00,Montrose,246.0,189.0,215.6,41.9655,-87.6385,2019-08-14,11:56:00
2091,13149.0,2019-08-14 11:54:00,Margaret T Burroughs (31st),1492.0,529.0,888.4,41.8393,-87.6072,2019-08-14,11:54:00
2092,13146.0,2019-08-14 11:53:00,South Shore,549.0,935.0,716.5,41.7689,-87.5636,2019-08-14,11:53:00
2093,13145.0,2019-08-14 11:52:00,Calumet,195.0,244.0,218.1,41.7142,-87.5299,2019-08-14,11:52:00
2094,13180.0,2019-08-15 12:25:00,57th Street,486.0,155.0,274.5,41.7911,-87.5797,2019-08-15,12:25:00
2095,13178.0,2019-08-15 12:25:00,Rainbow,155.0,320.0,222.7,41.758,-87.551,2019-08-15,12:25:00
2096,13428.0,2019-08-24 12:00:00,Leone,71.0,53.0,61.3,42.0131,-87.6635,2019-08-24,12:00:00
2097,13196.0,2019-08-15 12:27:00,Oak Street,8.0,8.0,8.0,41.9032,-87.6235,2019-08-15,12:27:00
2098,13198.0,2019-08-15 12:28:00,Hartigan (Albion),1106.0,796.0,938.3,42.0027,-87.6564,2019-08-15,12:28:00
2099,13195.0,2019-08-15 12:26:00,Margaret T Burroughs (31st),1259.0,497.0,791.0,41.8393,-87.6072,2019-08-15,12:26:00
2100,13186.0,2019-08-15 12:28:00,Foster,309.0,296.0,302.4,41.9785,-87.6515,2019-08-15,12:28:00
2101,13183.0,2019-08-15 12:26:00,Ohio Street,204.0,414.0,290.6,41.8935,-87.6152,2019-08-15,12:26:00
2102,13197.0,2019-08-15 12:27:00,Montrose,83.0,83.0,83.0,41.9655,-87.6385,2019-08-15,12:27:00
2103,13179.0,2019-08-15 12:25:00,South Shore,369.0,473.0,417.8,41.7689,-87.5636,2019-08-15,12:25:00
2105,13199.0,2019-08-15 12:29:00,Howard,503.0,428.0,464.0,42.0188,-87.6663,2019-08-15,12:29:00
2106,13188.0,2019-08-15 12:28:00,Leone,736.0,920.0,822.9,42.0131,-87.6635,2019-08-15,12:28:00
2107,13182.0,2019-08-15 12:26:00,12th Street,19.0,150.0,53.4,41.8638,-87.6083,2019-08-15,12:26:00
2108,13189.0,2019-08-15 12:28:00,Marion Mahony Griffin (Jarvis),280.0,303.0,291.3,42.0161,-87.6647,2019-08-15,12:28:00
2109,13185.0,2019-08-15 12:27:00,North Avenue,321.0,292.0,306.2,41.9148,-87.6273,2019-08-15,12:27:00
2110,13190.0,2019-08-15 12:29:00,Rogers,1297.0,2444.0,1780.4,42.0213,-87.6666,2019-08-15,12:29:00
2111,13184.0,2019-08-15 12:27:00,Humboldt,441.0,74.0,180.6,41.90643,-87.703717,2019-08-15,12:27:00
2112,13181.0,2019-08-15 12:26:00,Oakwood,910.0,810.0,858.5,41.8211,-87.5976,2019-08-15,12:26:00
2113,13193.0,2019-08-15 12:25:00,Calumet,1302.0,868.0,1063.1,41.7142,-87.5299,2019-08-15,12:25:00
2114,13194.0,2019-08-15 12:25:00,63rd Street,102.0,115.0,108.3,41.7827,-87.5748,2019-08-15,12:25:00
2115,13187.0,2019-08-15 12:28:00,Osterman,652.0,585.0,617.6,41.9877,-87.6545,2019-08-15,12:28:00
2116,13455.0,2019-08-25 11:32:00,Margaret T Burroughs (31st),25.0,95.0,48.7,41.8393,-87.6072,2019-08-25,11:32:00
2117,13457.0,2019-08-25 11:34:00,Montrose,97.0,49.0,68.9,41.9655,-87.6385,2019-08-25,11:34:00
2118,13446.0,2019-08-25 11:34:00,Foster,27.0,81.0,46.8,41.9785,-87.6515,2019-08-25,11:34:00
2119,13449.0,2019-08-25 11:35:00,Marion Mahony Griffin (Jarvis),58.0,77.0,66.8,42.0161,-87.6647,2019-08-25,11:35:00
2120,13445.0,2019-08-25 11:34:00,North Avenue,120.0,122.0,121.0,41.9148,-87.6273,2019-08-25,11:34:00
2121,13448.0,2019-08-25 11:35:00,Leone,86.0,119.0,101.2,42.0131,-87.6635,2019-08-25,11:35:00
2124,13214.0,2019-08-16 12:55:00,63rd Street,333.0,226.0,274.3,41.7827,-87.5748,2019-08-16,12:55:00
2125,13087.0,2019-08-16 12:53:00,Calumet,389.0,441.0,414.2,41.7142,-87.5299,2019-08-16,12:53:00
2126,13218.0,2019-08-16 12:58:00,Oak Street,70.0,141.0,99.3,41.9032,-87.6235,2019-08-16,12:58:00
2127,13203.0,2019-08-16 12:59:00,Humboldt,8.0,698.0,74.7,41.90643,-87.703717,2019-08-16,12:59:00
2128,13217.0,2019-08-16 12:58:00,Ohio Street,76.0,199.0,123.0,41.8935,-87.6152,2019-08-16,12:58:00
2129,13216.0,2019-08-16 12:57:00,Margaret T Burroughs (31st),160.0,126.0,142.0,41.8393,-87.6072,2019-08-16,12:57:00
2130,13200.0,2019-08-16 12:54:00,Rainbow,530.0,281.0,385.9,41.758,-87.551,2019-08-16,12:54:00
2131,13215.0,2019-08-16 12:56:00,Oakwood,291.0,1893.0,742.2,41.8211,-87.5976,2019-08-16,12:56:00
2132,13213.0,2019-08-16 12:55:00,South Shore,301.0,303.0,302.0,41.7689,-87.5636,2019-08-16,12:55:00
2133,13201.0,2019-08-16 12:56:00,57th Street,973.0,527.0,716.1,41.7911,-87.5797,2019-08-16,12:56:00
2134,13202.0,2019-08-16 12:57:00,12th Street,62.0,28.0,41.7,41.8638,-87.6083,2019-08-16,12:57:00
2135,13224.0,2019-08-16 13:03:00,Howard,127.0,194.0,157.0,42.0188,-87.6663,2019-08-16,13:03:00
2136,13456.0,2019-08-25 11:33:00,Oak Street,13.0,18.0,15.3,41.9032,-87.6235,2019-08-25,11:33:00
2137,13206.0,2019-08-16 13:04:00,Rogers,345.0,415.0,378.4,42.0213,-87.6666,2019-08-16,13:04:00
2138,13205.0,2019-08-16 13:02:00,Leone,223.0,103.0,151.6,42.0131,-87.6635,2019-08-16,13:02:00
2139,13221.0,2019-08-16 13:01:00,Osterman,27.0,210.0,75.3,41.9877,-87.6545,2019-08-16,13:01:00
2140,13222.0,2019-08-16 13:02:00,Hartigan (Albion),257.0,220.0,237.8,42.0027,-87.6564,2019-08-16,13:02:00
2141,13204.0,2019-08-16 13:01:00,Foster,142.0,191.0,164.7,41.9785,-87.6515,2019-08-16,13:01:00
2142,13223.0,2019-08-16 13:03:00,Marion Mahony Griffin (Jarvis),142.0,221.0,177.1,42.0161,-87.6647,2019-08-16,13:03:00
2143,13220.0,2019-08-16 13:00:00,Montrose,186.0,190.0,188.0,41.9655,-87.6385,2019-08-16,13:00:00
2144,13225.0,2019-08-17 11:58:00,South Shore,49.0,43.0,45.9,41.7689,-87.5636,2019-08-17,11:58:00
2145,13226.0,2019-08-17 11:59:00,Oakwood,22.0,9.0,14.1,41.8211,-87.5976,2019-08-17,11:59:00
2147,13211.0,2019-08-17 11:59:00,Margaret T Burroughs (31st),77.0,25.0,43.9,41.8393,-87.6072,2019-08-17,11:59:00
2148,13209.0,2019-08-17 11:58:00,63rd Street,35.0,39.0,36.9,41.7827,-87.5748,2019-08-17,11:58:00
2149,13208.0,2019-08-17 11:58:00,Rainbow,465.0,191.0,298.0,41.758,-87.551,2019-08-17,11:58:00
2150,13210.0,2019-08-17 11:59:00,57th Street,49.0,2.0,9.9,41.7911,-87.5797,2019-08-17,11:59:00
2151,13207.0,2019-08-17 11:57:00,Calumet,73.0,54.0,62.8,41.7142,-87.5299,2019-08-17,11:57:00
2154,13239.0,2019-08-17 12:03:00,Howard,114.0,86.0,99.0,42.0188,-87.6663,2019-08-17,12:03:00
2155,13233.0,2019-08-17 12:00:00,Oak Street,20.0,37.0,27.2,41.9032,-87.6235,2019-08-17,12:00:00
2156,13237.0,2019-08-17 12:02:00,Hartigan (Albion),247.0,216.0,231.0,42.0027,-87.6564,2019-08-17,12:02:00
